order_date,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020
2025-07-31,2,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0,1,1
2025-08-01,0,6,3,6,0,2,1,3,1,0,0,4,0,0,2,3,2,3,0,0
2025-08-02,1,0,0,2,0,2,2,2,0,4,1,0,5,5,1,0,1,0,1,5
2025-08-03,2,0,2,0,1,6,0,4,3,2,7,0,0,3,0,2,0,0,0,1
2025-08-04,4,2,0,6,2,0,3,3,0,0,4,0,1,4,6,1,5,3,0,1
2025-08-05,1,2,2,0,3,2,11,6,0,2,3,0,0,0,0,2,2,3,3,0
2025-08-06,3,1,0,1,1,6,0,0,1,0,0,5,0,3,4,1,4,0,4,1
2025-08-07,0,0,0,1,4,0,1,0,2,3,4,0,3,3,3,0,0,1,3,2
2025-08-08,3,0,0,0,0,0,0,6,3,3,6,4,0,0,0,4,0,5,4,1
2025-08-09,1,4,4,2,4,0,5,2,1,0,1,4,3,0,0,1,0,2,0,0
2025-08-10,9,3,0,5,2,8,8,0,0,3,2,0,0,0,3,4,7,7,2,0
2025-08-11,2,3,2,4,5,3,4,0,0,2,3,6,0,2,2,5,2,0,2,3
2025-08-12,1,3,1,0,3,8,3,3,0,0,5,0,0,0,0,3,2,1,6,7
2025-08-13,0,3,1,1,0,5,3,0,0,4,0,0,3,2,0,1,0,4,0,3
2025-08-14,2,0,0,0,0,0,0,0,0,1,3,0,0,0,2,1,1,0,0,2
2025-08-15,0,3,0,0,0,0,0,3,3,0,0,0,0,3,2,4,3,1,1,1
2025-08-16,0,0,4,3,3,3,8,1,2,2,3,3,1,2,5,0,2,2,2,0
2025-08-17,3,1,0,1,11,4,0,3,2,3,2,3,0,4,0,0,3,2,4,5
2025-08-18,0,1,0,0,2,2,4,0,0,0,0,0,0,5,3,0,2,3,0,0
2025-08-19,0,3,0,0,2,0,1,2,2,3,0,3,2,1,5,0,2,2,4,0
2025-08-20,6,0,3,0,0,0,1,7,2,2,4,0,4,0,0,1,3,0,2,1
2025-08-21,7,1,5,7,0,1,9,9,4,5,1,2,1,1,12,4,9,6,5,3
2025-08-22,5,0,3,3,3,0,2,6,1,0,10,3,2,6,0,5,11,0,1,5
2025-08-23,0,3,1,5,5,4,3,3,1,4,0,0,5,1,3,2,0,4,0,2
2025-08-24,2,2,5,0,2,11,5,2,4,9,8,3,7,4,1,2,2,1,1,2
2025-08-25,5,6,4,3,2,5,4,3,1,5,8,2,2,0,2,2,3,5,1,6
2025-08-26,0,2,1,0,2,7,6,0,2,9,2,8,0,1,0,4,3,5,3,2
2025-08-27,2,3,0,1,0,3,4,3,0,7,3,0,5,0,0,3,0,3,2,3
2025-08-28,1,3,3,6,0,2,3,0,3,0,3,0,4,2,0,1,0,0,0,3
2025-08-29,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2
2025-08-30,4,2,4,4,5,0,0,6,7,5,0,0,2,0,9,3,0,2,4,0
2025-08-31,6,3,7,5,3,3,1,6,8,1,2,8,2,0,2,7,2,4,1,5
2025-09-01,3,7,0,4,3,3,6,0,1,3,1,0,1,11,5,5,4,0,2,9
2025-09-02,1,0,6,3,1,3,3,0,4,0,4,6,0,0,0,3,0,8,1,0
2025-09-03,0,4,3,1,3,2,1,4,0,0,1,3,4,0,3,6,0,1,2,1
2025-09-04,1,5,4,1,3,2,3,4,0,1,0,0,0,0,1,2,4,5,3,2
2025-09-05,0,0,0,1,2,0,2,0,0,5,2,3,3,0,3,2,0,2,0,3
2025-09-06,0,2,0,0,5,0,3,0,2,0,0,0,0,0,3,1,3,1,6,0
2025-09-07,0,3,3,0,0,0,0,1,0,0,1,4,0,7,3,4,1,3,0,5
2025-09-08,0,0,3,5,4,4,0,0,0,1,1,0,2,5,2,7,5,0,6,0
2025-09-09,3,0,3,1,1,12,6,0,4,0,2,0,0,1,4,0,4,6,0,0
2025-09-10,3,2,0,0,3,0,0,5,1,0,0,2,1,0,0,3,0,6,0,0
2025-09-11,0,0,0,3,0,0,3,1,3,3,0,0,3,0,0,1,0,0,0,0
2025-09-12,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,0
2025-09-13,3,0,4,4,1,0,5,7,6,1,5,5,6,2,6,2,6,1,6,0
2025-09-14,0,5,0,0,0,1,0,0,1,0,0,3,2,5,0,0,1,0,3,0
2025-09-15,0,1,4,0,0,0,0,2,2,4,3,1,2,0,6,3,5,2,3,3
2025-09-16,0,3,0,3,0,3,0,1,3,0,4,3,0,0,0,2,3,0,7,6
2025-09-17,1,0,0,1,7,1,0,1,3,8,8,3,3,5,0,0,0,0,0,0
2025-09-18,5,2,5,1,3,0,0,3,2,3,3,4,0,4,1,0,0,2,0,3
2025-09-19,3,0,0,2,3,1,0,0,0,0,2,2,2,2,0,4,0,3,5,10
2025-09-20,7,0,8,2,0,0,2,0,0,0,0,3,3,0,0,3,4,5,3,0
2025-09-21,4,0,5,0,6,5,4,0,3,1,5,0,3,8,1,4,8,0,4,1
2025-09-22,0,5,0,1,0,5,2,6,0,0,3,4,5,0,5,3,1,3,3,6
2025-09-23,5,3,2,6,2,6,6,4,6,4,3,5,1,0,3,3,3,3,0,3
2025-09-24,0,3,0,1,3,1,3,4,1,2,1,6,1,3,0,3,3,9,4,3
2025-09-25,2,0,2,2,3,2,0,0,1,1,4,0,2,1,0,4,6,0,0,3
2025-09-26,4,3,0,6,0,4,3,0,7,3,0,0,2,0,0,2,4,2,4,3
2025-09-27,10,1,4,13,2,3,0,11,7,7,2,0,2,5,14,0,3,6,3,7
2025-09-28,3,9,1,1,0,2,2,1,2,3,1,0,2,4,4,2,2,6,2,5
2025-09-29,8,2,1,2,0,2,0,3,3,5,8,0,0,3,5,0,6,1,0,1
2025-09-30,1,5,4,2,3,1,0,0,0,3,3,0,4,0,0,3,0,7,5,5
2025-10-01,4,3,0,7,2,2,1,4,2,5,0,2,0,2,1,3,4,0,6,1
2025-10-02,0,0,0,0,0,3,0,1,3,0,0,2,1,0,3,0,0,0,0,1
2025-10-03,0,2,0,0,0,1,2,3,0,3,0,3,0,0,3,3,0,3,0,2
2025-10-04,3,5,10,2,1,7,2,1,3,1,0,2,6,3,1,3,5,0,1,2
2025-10-05,1,0,2,0,1,2,8,2,1,2,0,2,2,2,2,2,3,4,7,2
2025-10-06,0,0,0,1,0,1,0,0,2,0,1,0,0,3,4,6,1,3,2,1
2025-10-07,0,3,2,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0
2025-10-08,2,1,3,0,0,10,6,1,5,4,1,6,1,0,0,3,2,3,7,0
2025-10-09,4,0,0,4,5,3,0,2,0,3,3,1,2,0,5,11,1,5,3,4
2025-10-10,1,1,0,0,2,0,3,2,0,0,0,3,3,0,5,0,0,0,3,3
2025-10-11,2,3,4,0,3,8,1,4,0,4,1,0,4,3,3,3,0,3,0,1
2025-10-12,1,3,4,4,0,4,3,3,0,3,4,1,0,2,0,8,11,3,3,4
2025-10-13,5,0,0,3,0,0,0,2,0,1,0,0,0,0,4,3,0,0,2,0
2025-10-14,2,1,1,3,0,2,1,0,5,3,4,5,0,3,0,0,0,4,5,4
2025-10-15,1,1,1,3,3,3,0,0,0,1,0,0,0,0,2,2,1,1,3,3
2025-10-16,2,5,1,3,0,3,4,0,0,2,2,2,0,2,4,3,2,2,6,0
2025-10-17,4,5,6,0,6,4,4,0,8,8,1,0,0,0,2,5,2,2,0,4
2025-10-18,3,0,1,3,0,0,5,0,3,0,1,0,0,1,1,0,0,0,3,0
2025-10-19,0,2,1,6,1,2,0,4,0,1,1,0,0,1,3,4,3,0,3,3
2025-10-20,0,1,2,0,0,0,0,2,3,0,0,0,3,2,0,0,0,0,0,3
2025-10-21,0,1,3,0,3,0,2,3,5,0,1,0,0,1,2,3,3,4,0,0
2025-10-22,1,6,5,4,2,3,0,3,4,5,6,4,3,0,0,6,2,0,3,1
