sales_detail_id,order_id,product_id,quantity,unit_price,discount,line_total
D0000108,O000042,P014,3,6500,10,17550
D0000109,O000043,P019,3,17000,5,48450
D0000110,O000043,P006,3,10500,0,31500
D0000111,O000044,P009,1,15000,5,14250
D0000112,O000044,P004,1,2500,10,2250
D0000113,O000044,P007,1,18000,10,16200
D0000114,O000045,P019,1,17000,10,15300
D0000115,O000045,P001,3,3500,5,9975
D0000116,O000046,P017,3,4500,0,13500
D0000117,O000047,P004,2,2500,0,5000
D0000118,O000047,P005,1,8500,10,7650
D0000119,O000048,P006,1,10500,0,10500
D0000120,O000048,P007,3,18000,0,54000
D0000121,O000049,P004,3,2500,5,7125
D0000122,O000050,P019,1,17000,0,17000
D0000123,O000051,P003,3,5500,0,16500
D0000124,O000051,P016,3,15500,0,46500
D0000125,O000051,P012,2,39500,10,71100
D0000126,O000051,P001,1,3500,10,3150
D0000127,O000052,P002,1,3500,5,3325
D0000128,O000052,P011,1,11500,0,11500
D0000129,O000052,P019,2,17000,10,30600
D0000130,O000052,P018,3,12000,0,36000
D0000131,O000053,P010,3,5500,0,16500
D0000132,O000053,P007,1,18000,0,18000
D0000133,O000053,P017,1,4500,10,4050
D0000134,O000054,P003,3,5500,0,16500
D0000135,O000054,P020,2,29500,0,59000
D0000136,O000054,P008,1,24500,5,23275
D0000137,O000055,P008,2,24500,5,46550
D0000138,O000055,P015,1,3000,0,3000
D0000139,O000056,P006,3,10500,10,28350
D0000140,O000056,P020,3,29500,5,84075
D0000141,O000056,P016,2,15500,0,31000
D0000142,O000056,P001,1,3500,10,3150
D0000143,O000057,P008,2,24500,0,49000
D0000144,O000057,P003,3,5500,0,16500
D0000145,O000058,P015,1,3000,0,3000
D0000146,O000058,P018,2,12000,5,22800
D0000147,O000058,P001,2,3500,10,6300
D0000148,O000058,P007,3,18000,0,54000
D0000149,O000059,P019,2,17000,0,34000
D0000150,O000059,P008,3,24500,5,69825
D0000151,O000059,P014,3,6500,0,19500
D0000152,O000059,P009,2,15000,0,30000
D0000153,O000060,P003,1,5500,5,5225
D0000154,O000060,P005,1,8500,5,8075
D0000155,O000061,P006,2,10500,0,21000
D0000156,O000061,P015,1,3000,0,3000
D0000157,O000062,P008,1,24500,0,24500
D0000158,O000062,P001,2,3500,0,7000
D0000159,O000062,P003,2,5500,10,9900
D0000160,O000062,P002,2,3500,10,6300
D0000161,O000063,P018,2,12000,0,24000
D0000162,O000063,P013,2,8500,10,15300
D0000163,O000064,P018,3,12000,5,34200
D0000164,O000064,P005,1,8500,0,8500
D0000165,O000064,P013,2,8500,0,17000
D0000166,O000065,P017,2,4500,0,9000
D0000167,O000066,P019,1,17000,0,17000
D0000168,O000066,P010,3,5500,0,16500
D0000169,O000066,P006,3,10500,0,31500
D0000170,O000066,P002,2,3500,5,6650
D0000171,O000067,P016,3,15500,0,46500
D0000172,O000068,P001,2,3500,0,7000
D0000173,O000069,P006,3,10500,5,29925
D0000174,O000069,P001,1,3500,0,3500
D0000175,O000069,P010,1,5500,0,5500
D0000176,O000069,P009,1,15000,5,14250
D0000177,O000070,P009,1,15000,10,13500
D0000178,O000070,P020,1,29500,5,28025
D0000179,O000070,P019,1,17000,5,16150
D0000180,O000070,P008,1,24500,5,23275
D0000181,O000071,P009,2,15000,10,27000
D0000182,O000071,P017,1,4500,0,4500
D0000183,O000071,P004,2,2500,0,5000
D0000184,O000072,P010,3,5500,5,15675
D0000185,O000072,P017,2,4500,5,8550
D0000186,O000072,P012,1,39500,0,39500
D0000187,O000073,P017,3,4500,10,12150
D0000188,O000074,P018,1,12000,5,11400
D0000189,O000074,P015,3,3000,5,8550
D0000190,O000075,P016,1,15500,5,14725
D0000191,O000075,P017,2,4500,5,8550
D0000192,O000076,P017,3,4500,10,12150
D0000193,O000076,P006,1,10500,5,9975
D0000194,O000077,P010,3,5500,5,15675
D0000195,O000077,P014,2,6500,10,11700
D0000196,O000078,P018,3,12000,10,32400
D0000197,O000078,P019,3,17000,0,51000
D0000198,O000079,P001,3,3500,10,9450
D0000199,O000080,P008,1,24500,0,24500
D0000200,O000080,P006,1,10500,10,9450
D0000201,O000080,P014,2,6500,0,13000
D0000202,O000080,P015,3,3000,0,9000
D0000203,O000081,P003,3,5500,5,15675
D0000204,O000081,P007,2,18000,10,32400
D0000205,O000082,P020,3,29500,0,88500
D0000206,O000082,P017,2,4500,5,8550
D0000207,O000082,P014,1,6500,0,6500
D0000208,O000082,P003,3,5500,0,16500
D0000209,O000083,P002,1,3500,0,3500
D0000210,O000083,P015,2,3000,10,5400
D0000211,O000083,P006,3,10500,10,28350
D0000212,O000084,P016,3,15500,0,46500
D0000213,O000085,P001,1,3500,0,3500
D0000214,O000086,P011,2,11500,0,23000
D0000215,O000086,P010,2,5500,0,11000
D0000216,O000087,P002,3,3500,10,9450
D0000217,O000087,P015,3,3000,0,9000
D0000218,O000087,P010,2,5500,0,11000
D0000219,O000087,P005,3,8500,0,25500
D0000220,O000088,P003,1,5500,0,5500
D0000221,O000088,P020,3,29500,10,79650
D0000222,O000088,P018,2,12000,0,24000
D0000223,O000089,P007,1,18000,5,17100
D0000224,O000089,P014,2,6500,10,11700
D0000225,O000089,P016,3,15500,5,44175
D0000226,O000089,P008,1,24500,10,22050
D0000227,O000090,P006,1,10500,0,10500
D0000228,O000090,P017,3,4500,10,12150
D0000229,O000090,P018,2,12000,5,22800
D0000230,O000091,P016,1,15500,0,15500
D0000231,O000091,P018,1,12000,0,12000
D0000232,O000091,P011,3,11500,0,34500
D0000233,O000091,P020,3,29500,0,88500
D0000234,O000092,P003,3,5500,0,16500
D0000235,O000092,P019,2,17000,5,32300
D0000236,O000093,P006,1,10500,5,9975
D0000237,O000094,P016,1,15500,5,14725
D0000238,O000094,P001,2,3500,5,6650
D0000239,O000094,P007,2,18000,10,32400
D0000240,O000094,P004,2,2500,5,4750
D0000241,O000095,P019,1,17000,0,17000
D0000242,O000095,P017,2,4500,10,8100
D0000243,O000096,P006,2,10500,5,19950
D0000244,O000096,P007,1,18000,10,16200
D0000245,O000097,P014,3,6500,10,17550
D0000246,O000097,P017,1,4500,0,4500
D0000247,O000097,P016,1,15500,5,14725
D0000248,O000097,P011,3,11500,10,31050
D0000249,O000098,P002,3,3500,10,9450
D0000250,O000098,P019,3,17000,0,51000
D0000251,O000099,P007,1,18000,5,17100
D0000252,O000099,P003,2,5500,10,9900
D0000253,O000099,P012,1,39500,5,37525
D0000254,O000100,P018,2,12000,10,21600
D0000255,O000100,P020,1,29500,0,29500
D0000256,O000101,P012,3,39500,0,118500
D0000257,O000101,P001,2,3500,0,7000
D0000258,O000101,P007,3,18000,0,54000
D0000259,O000101,P013,2,8500,0,17000
D0000260,O000102,P014,3,6500,0,19500
D0000261,O000103,P017,3,4500,5,12825
D0000262,O000104,P013,3,8500,10,22950
D0000263,O000105,P008,3,24500,5,69825
D0000264,O000105,P007,2,18000,5,34200
D0000265,O000106,P001,2,3500,5,6650
D0000266,O000106,P016,2,15500,0,31000
D0000267,O000107,P020,1,29500,0,29500
D0000268,O000107,P017,2,4500,5,8550
D0000269,O000107,P016,3,15500,0,46500
D0000270,O000108,P018,1,12000,0,12000
D0000271,O000108,P005,1,8500,5,8075
D0000272,O000109,P017,2,4500,10,8100
D0000273,O000110,P014,3,6500,0,19500
D0000274,O000111,P005,1,8500,0,8500
D0000275,O000111,P015,3,3000,5,8550
D0000276,O000111,P012,3,39500,5,112575
D0000277,O000112,P005,3,8500,5,24225
D0000278,O000112,P008,1,24500,0,24500
D0000279,O000112,P011,2,11500,0,23000
D0000280,O000113,P013,3,8500,0,25500
D0000281,O000114,P020,3,29500,5,84075
D0000282,O000114,P015,3,3000,0,9000
D0000283,O000115,P010,1,5500,5,5225
D0000284,O000116,P017,2,4500,0,9000
D0000285,O000116,P007,3,18000,0,54000
D0000286,O000117,P015,3,3000,0,9000
D0000287,O000117,P020,3,29500,5,84075
D0000288,O000117,P004,3,2500,5,7125
D0000289,O000117,P016,3,15500,5,44175
D0000290,O000118,P010,1,5500,5,5225
D0000291,O000118,P019,1,17000,0,17000
D0000292,O000118,P001,1,3500,0,3500
D0000293,O000119,P016,1,15500,5,14725
D0000294,O000119,P018,1,12000,0,12000
D0000295,O000120,P015,1,3000,5,2850
D0000296,O000120,P006,2,10500,10,18900
D0000297,O000121,P014,2,6500,5,12350
D0000298,O000121,P015,1,3000,5,2850
D0000299,O000121,P020,2,29500,0,59000
D0000300,O000122,P008,1,24500,10,22050
D0000301,O000123,P005,2,8500,0,17000
D0000302,O000123,P017,3,4500,5,12825
D0000303,O000124,P007,2,18000,10,32400
D0000304,O000124,P016,2,15500,10,27900
D0000305,O000124,P008,1,24500,5,23275
D0000306,O000124,P003,3,5500,0,16500
D0000307,O000125,P015,1,3000,10,2700
D0000308,O000125,P018,1,12000,10,10800
D0000309,O000126,P019,3,17000,0,51000
D0000310,O000126,P001,1,3500,0,3500
D0000311,O000126,P004,3,2500,5,7125
D0000312,O000126,P014,1,6500,10,5850
D0000313,O000127,P010,3,5500,0,16500
D0000314,O000127,P017,1,4500,0,4500
D0000315,O000128,P013,3,8500,0,25500
D0000316,O000128,P001,2,3500,5,6650
D0000317,O000129,P019,3,17000,5,48450
D0000318,O000129,P007,3,18000,10,48600
D0000319,O000129,P003,1,5500,0,5500
D0000320,O000129,P017,2,4500,0,9000
D0000321,O000130,P012,3,39500,0,118500
D0000322,O000130,P006,3,10500,5,29925
D0000323,O000131,P015,3,3000,10,8100
D0000324,O000131,P007,2,18000,0,36000
D0000325,O000132,P014,2,6500,10,11700
D0000326,O000132,P016,1,15500,0,15500
D0000327,O000133,P008,2,24500,0,49000
D0000328,O000133,P002,2,3500,5,6650
D0000329,O000133,P018,2,12000,5,22800
D0000330,O000133,P020,3,29500,0,88500
D0000331,O000134,P003,2,5500,0,11000
D0000332,O000134,P007,3,18000,0,54000
D0000333,O000134,P009,2,15000,0,30000
D0000334,O000134,P005,1,8500,10,7650
D0000335,O000135,P017,1,4500,0,4500
D0000336,O000135,P003,3,5500,10,14850
D0000337,O000136,P010,2,5500,10,9900
D0000338,O000136,P005,3,8500,0,25500
D0000339,O000136,P004,1,2500,0,2500
D0000340,O000136,P020,3,29500,10,79650
D0000341,O000137,P016,1,15500,0,15500
D0000342,O000137,P013,1,8500,10,7650
D0000343,O000137,P008,2,24500,0,49000
D0000344,O000137,P018,2,12000,10,21600
D0000345,O000138,P008,1,24500,5,23275
D0000346,O000138,P005,3,8500,10,22950
D0000347,O000139,P003,1,5500,5,5225
D0000348,O000139,P004,1,2500,0,2500
D0000349,O000140,P013,3,8500,0,25500
D0000350,O000140,P020,3,29500,0,88500
D0000351,O000140,P004,3,2500,0,7500
D0000352,O000140,P015,2,3000,0,6000
D0000353,O000141,P001,2,3500,0,7000
D0000354,O000141,P018,3,12000,10,32400
D0000355,O000141,P014,2,6500,0,13000
D0000356,O000142,P013,3,8500,10,22950
D0000357,O000142,P017,1,4500,5,4275
D0000358,O000142,P002,3,3500,0,10500
D0000359,O000143,P003,2,5500,0,11000
D0000360,O000143,P018,3,12000,5,34200
D0000361,O000144,P002,1,3500,0,3500
D0000362,O000145,P017,3,4500,0,13500
D0000363,O000145,P012,3,39500,10,106650
D0000364,O000145,P008,1,24500,0,24500
D0000365,O000146,P008,3,24500,5,69825
D0000366,O000146,P001,3,3500,0,10500
D0000367,O000146,P010,3,5500,0,16500
D0000368,O000147,P017,1,4500,0,4500
D0000369,O000148,P014,3,6500,10,17550
D0000370,O000148,P009,3,15000,0,45000
D0000371,O000149,P001,1,3500,10,3150
D0000372,O000149,P007,3,18000,0,54000
D0000373,O000149,P015,3,3000,10,8100
D0000374,O000149,P012,2,39500,0,79000
D0000375,O000150,P010,1,5500,10,4950
D0000376,O000150,P020,3,29500,0,88500
D0000377,O000150,P016,3,15500,5,44175
D0000378,O000150,P014,1,6500,0,6500
D0000379,O000151,P007,1,18000,10,16200
D0000380,O000151,P012,3,39500,0,118500
D0000381,O000151,P002,3,3500,0,10500
D0000382,O000152,P004,1,2500,10,2250
D0000383,O000152,P013,3,8500,5,24225
D0000384,O000152,P010,3,5500,0,16500
D0000385,O000153,P010,3,5500,0,16500
D0000386,O000153,P019,2,17000,0,34000
D0000387,O000153,P009,1,15000,0,15000
D0000388,O000154,P005,2,8500,10,15300
D0000389,O000154,P002,2,3500,0,7000
D0000390,O000154,P009,2,15000,5,28500
D0000391,O000154,P001,1,3500,5,3325
D0000392,O000155,P007,1,18000,0,18000
D0000393,O000155,P011,3,11500,0,34500
D0000394,O000155,P009,1,15000,10,13500
D0000395,O000156,P016,1,15500,10,13950
D0000396,O000156,P010,2,5500,0,11000
D0000397,O000157,P018,2,12000,0,24000
D0000398,O000157,P004,2,2500,5,4750
D0000399,O000158,P007,3,18000,5,51300
D0000400,O000158,P002,3,3500,5,9975
D0000401,O000158,P001,1,3500,5,3325
D0000402,O000158,P011,3,11500,5,32775
D0000403,O000159,P015,3,3000,0,9000
D0000404,O000159,P003,2,5500,0,11000
D0000405,O000160,P005,3,8500,10,22950
D0000406,O000160,P009,3,15000,0,45000
D0000407,O000160,P010,3,5500,0,16500
D0000408,O000160,P007,2,18000,0,36000
D0000409,O000161,P004,2,2500,10,4500
D0000410,O000161,P005,3,8500,10,22950
D0000411,O000161,P018,3,12000,0,36000
D0000412,O000162,P006,1,10500,10,9450
D0000413,O000162,P005,2,8500,10,15300
D0000414,O000162,P016,1,15500,10,13950
D0000415,O000163,P012,3,39500,0,118500
D0000416,O000164,P020,1,29500,0,29500
D0000417,O000164,P010,1,5500,0,5500
D0000418,O000164,P019,1,17000,0,17000
D0000419,O000164,P009,2,15000,10,27000
D0000420,O000165,P009,2,15000,10,27000
D0000421,O000165,P004,1,2500,5,2375
D0000422,O000165,P015,1,3000,5,2850
D0000423,O000166,P007,3,18000,10,48600
D0000424,O000167,P006,2,10500,10,18900
D0000425,O000167,P012,2,39500,0,79000
D0000426,O000168,P018,1,12000,10,10800
D0000427,O000168,P017,2,4500,0,9000
D0000428,O000168,P006,2,10500,5,19950
D0000429,O000169,P007,2,18000,0,36000
D0000430,O000169,P013,3,8500,0,25500
D0000431,O000169,P017,1,4500,10,4050
D0000432,O000170,P017,3,4500,5,12825
D0000433,O000170,P011,1,11500,10,10350
D0000434,O000171,P007,1,18000,0,18000
D0000435,O000172,P003,1,5500,0,5500
D0000436,O000172,P006,3,10500,5,29925
D0000437,O000172,P008,1,24500,5,23275
D0000438,O000172,P009,3,15000,10,40500
D0000439,O000173,P020,1,29500,10,26550
D0000440,O000173,P005,3,8500,0,25500
D0000441,O000173,P004,2,2500,10,4500
D0000442,O000174,P003,3,5500,10,14850
D0000443,O000174,P009,3,15000,10,40500
D0000444,O000174,P018,3,12000,5,34200
D0000445,O000174,P008,1,24500,0,24500
D0000446,O000175,P010,1,5500,5,5225
D0000447,O000175,P007,3,18000,0,54000
D0000448,O000176,P010,1,5500,0,5500
D0000449,O000176,P017,3,4500,0,13500
D0000450,O000176,P011,2,11500,0,23000
D0000451,O000176,P014,3,6500,5,18525
D0000452,O000177,P001,2,3500,5,6650
D0000453,O000177,P003,1,5500,10,4950
D0000454,O000178,P010,1,5500,5,5225
D0000455,O000179,P017,2,4500,10,8100
D0000456,O000179,P005,1,8500,10,7650
D0000457,O000179,P019,1,17000,5,16150
D0000458,O000179,P004,3,2500,0,7500
D0000459,O000180,P017,2,4500,10,8100
D0000460,O000180,P006,3,10500,5,29925
D0000461,O000181,P001,1,3500,5,3325
D0000462,O000181,P011,2,11500,0,23000
D0000463,O000181,P002,3,3500,10,9450
D0000464,O000182,P017,2,4500,5,8550
D0000465,O000182,P003,3,5500,5,15675
D0000466,O000182,P004,3,2500,5,7125
D0000467,O000182,P014,1,6500,10,5850
D0000468,O000183,P013,3,8500,10,22950
D0000469,O000183,P008,1,24500,0,24500
D0000470,O000183,P014,2,6500,0,13000
D0000471,O000183,P005,2,8500,5,16150
D0000472,O000184,P011,1,11500,10,10350
D0000473,O000185,P006,2,10500,5,19950
D0000474,O000185,P002,3,3500,0,10500
D0000475,O000186,P009,1,15000,0,15000
D0000476,O000186,P003,1,5500,5,5225
D0000477,O000187,P004,2,2500,5,4750
D0000478,O000187,P010,2,5500,0,11000
D0000479,O000187,P009,3,15000,5,42750
D0000480,O000188,P004,3,2500,10,6750
D0000481,O000188,P015,1,3000,0,3000
D0000482,O000188,P020,1,29500,10,26550
D0000483,O000188,P001,3,3500,0,10500
D0000484,O000189,P016,1,15500,0,15500
D0000485,O000189,P006,1,10500,0,10500
D0000486,O000190,P012,1,39500,5,37525
D0000487,O000191,P015,1,3000,0,3000
D0000488,O000191,P019,1,17000,5,16150
D0000489,O000192,P018,2,12000,5,22800
D0000490,O000192,P001,3,3500,0,10500
D0000491,O000192,P010,3,5500,0,16500
D0000492,O000193,P011,1,11500,5,10925
D0000493,O000193,P001,2,3500,5,6650
D0000494,O000193,P006,3,10500,5,29925
D0000495,O000194,P011,3,11500,0,34500
D0000496,O000194,P004,1,2500,0,2500
D0000497,O000195,P013,1,8500,0,8500
D0000498,O000195,P014,2,6500,0,13000
D0000499,O000195,P020,3,29500,5,84075
D0000500,O000195,P008,1,24500,5,23275
D0000501,O000196,P003,1,5500,5,5225
D0000502,O000196,P011,3,11500,10,31050
D0000503,O000197,P020,3,29500,5,84075
D0000504,O000197,P017,1,4500,5,4275
D0000505,O000198,P008,3,24500,0,73500
D0000506,O000199,P013,3,8500,0,25500
D0000507,O000200,P015,1,3000,0,3000
D0000508,O000200,P008,3,24500,10,66150
D0000509,O000200,P001,3,3500,5,9975
D0000510,O000200,P004,1,2500,10,2250
D0000511,O000201,P011,3,11500,10,31050
D0000512,O000201,P005,3,8500,0,25500
D0000513,O000201,P013,3,8500,0,25500
D0000514,O000201,P010,3,5500,0,16500
D0000515,O000202,P007,2,18000,5,34200
D0000516,O000202,P016,3,15500,5,44175
D0000517,O000202,P006,1,10500,5,9975
D0000518,O000202,P015,1,3000,0,3000
D0000519,O000203,P010,3,5500,0,16500
D0000520,O000203,P018,1,12000,5,11400
D0000521,O000203,P001,2,3500,5,6650
D0000522,O000203,P007,1,18000,0,18000
D0000523,O000204,P007,3,18000,0,54000
D0000524,O000204,P009,2,15000,0,30000
D0000525,O000204,P011,1,11500,5,10925
D0000526,O000205,P014,1,6500,0,6500
D0000527,O000206,P016,2,15500,0,31000
D0000528,O000206,P004,1,2500,5,2375
D0000529,O000206,P017,2,4500,0,9000
D0000530,O000206,P013,3,8500,5,24225
D0000531,O000207,P007,3,18000,10,48600
D0000532,O000208,P013,1,8500,5,8075
D0000533,O000208,P010,3,5500,5,15675
D0000534,O000209,P008,1,24500,0,24500
D0000535,O000209,P007,2,18000,10,32400
D0000536,O000210,P011,1,11500,5,10925
D0000537,O000211,P006,3,10500,0,31500
D0000538,O000212,P015,3,3000,0,9000
D0000539,O000212,P018,1,12000,10,10800
D0000540,O000213,P014,1,6500,5,6175
D0000541,O000214,P019,2,17000,0,34000
D0000542,O000214,P017,2,4500,0,9000
D0000543,O000214,P001,2,3500,0,7000
D0000544,O000215,P010,2,5500,5,10450
D0000545,O000216,P011,3,11500,0,34500
D0000546,O000217,P019,3,17000,5,48450
D0000547,O000217,P002,2,3500,10,6300
D0000548,O000217,P011,2,11500,0,23000
D0000549,O000217,P018,1,12000,10,10800
D0000550,O000218,P018,1,12000,0,12000
D0000551,O000218,P003,2,5500,0,11000
D0000552,O000218,P012,1,39500,0,39500
D0000553,O000218,P006,2,10500,5,19950
D0000554,O000219,P017,3,4500,0,13500
D0000555,O000219,P004,1,2500,0,2500
D0000556,O000219,P005,3,8500,0,25500
D0000557,O000219,P018,1,12000,10,10800
D0000558,O000220,P020,1,29500,0,29500
D0000559,O000220,P019,2,17000,0,34000
D0000560,O000220,P008,2,24500,10,44100
D0000561,O000221,P018,3,12000,10,32400
D0000562,O000221,P003,3,5500,10,14850
D0000563,O000221,P007,1,18000,0,18000
D0000564,O000222,P007,3,18000,0,54000
D0000565,O000222,P008,2,24500,5,46550
D0000566,O000222,P020,2,29500,5,56050
D0000567,O000223,P014,2,6500,5,12350
D0000568,O000224,P013,3,8500,0,25500
D0000569,O000225,P009,2,15000,0,30000
D0000570,O000225,P016,1,15500,0,15500
D0000571,O000225,P012,3,39500,0,118500
D0000572,O000226,P018,3,12000,0,36000
D0000573,O000226,P015,3,3000,5,8550
D0000574,O000226,P011,1,11500,0,11500
D0000575,O000226,P016,1,15500,0,15500
D0000576,O000227,P017,3,4500,5,12825
D0000577,O000228,P007,3,18000,0,54000
D0000578,O000228,P017,1,4500,0,4500
D0000579,O000228,P010,3,5500,0,16500
D0000580,O000229,P015,3,3000,10,8100
D0000581,O000230,P013,1,8500,0,8500
D0000582,O000230,P010,3,5500,0,16500
D0000583,O000230,P001,2,3500,0,7000
D0000584,O000230,P018,2,12000,5,22800
D0000585,O000231,P012,2,39500,0,79000
D0000586,O000231,P005,3,8500,0,25500
D0000587,O000231,P011,3,11500,5,32775
D0000588,O000232,P004,3,2500,0,7500
D0000589,O000233,P001,1,3500,10,3150
D0000590,O000234,P010,1,5500,5,5225
D0000591,O000234,P016,2,15500,0,31000
D0000592,O000235,P012,3,39500,0,118500
D0000593,O000236,P005,1,8500,0,8500
D0000594,O000236,P001,1,3500,0,3500
D0000595,O000236,P009,2,15000,10,27000
D0000596,O000237,P019,3,17000,10,45900
D0000597,O000238,P012,1,39500,0,39500
D0000598,O000238,P013,2,8500,10,15300
D0000599,O000238,P006,3,10500,5,29925
D0000600,O000239,P009,2,15000,0,30000
D0000601,O000239,P019,2,17000,0,34000
D0000602,O000239,P018,2,12000,10,21600
D0000603,O000240,P019,1,17000,0,17000
D0000604,O000241,P008,2,24500,0,49000
D0000605,O000241,P009,3,15000,0,45000
D0000606,O000241,P002,1,3500,0,3500
D0000607,O000242,P012,2,39500,0,79000
D0000608,O000242,P005,1,8500,5,8075
D0000609,O000242,P002,2,3500,0,7000
D0000610,O000242,P013,3,8500,10,22950
D0000611,O000243,P001,1,3500,0,3500
D0000612,O000244,P020,3,29500,0,88500
D0000613,O000244,P009,2,15000,0,30000
D0000614,O000244,P015,2,3000,0,6000
D0000615,O000245,P011,2,11500,0,23000
D0000616,O000245,P002,1,3500,0,3500
D0000617,O000245,P004,2,2500,10,4500
D0000618,O000246,P011,3,11500,0,34500
D0000619,O000247,P020,1,29500,0,29500
D0000620,O000247,P012,1,39500,5,37525
D0000621,O000247,P005,3,8500,0,25500
D0000622,O000247,P011,1,11500,0,11500
D0000623,O000248,P020,1,29500,0,29500
D0000624,O000248,P017,2,4500,0,9000
D0000625,O000248,P018,3,12000,10,32400
D0000626,O000249,P004,2,2500,0,5000
D0000627,O000249,P001,3,3500,0,10500
D0000628,O000250,P010,3,5500,0,16500
D0000629,O000250,P016,3,15500,0,46500
D0000630,O000250,P011,1,11500,0,11500
D0000631,O000251,P011,2,11500,5,21850
D0000632,O000251,P005,2,8500,5,16150
D0000633,O000252,P002,3,3500,0,10500
