order_id,order_date,customer_id,geography_id,payment_method,total_amount
O000050,2025-05-04,C0067,G004,Cash,17000
O000051,2025-09-02,C0021,G004,Transfer,137250
O000052,2025-10-14,C0079,G008,E-Wallet,81425
O000053,2025-04-22,C0098,G004,Cash,38550
O000054,2025-11-08,C0055,G004,Cash,98775
O000055,2025-08-21,C0015,G007,Transfer,49550
O000056,2025-10-09,C0001,G006,E-Wallet,146575
O000057,2025-03-30,C0010,G009,Cash,65500
O000058,2025-07-14,C0087,G003,QRIS,86100
O000059,2025-06-30,C0035,G001,E-Wallet,153325
O000060,2025-03-12,C0099,G010,E-Wallet,13300
O000061,2025-01-28,C0004,G009,Cash,24000
O000062,2025-10-04,C0028,G008,Cash,47700
O000063,2025-12-22,C0065,G002,Transfer,39300
O000064,2025-04-12,C0095,G002,E-Wallet,59700
O000065,2025-03-02,C0052,G008,E-Wallet,9000
O000066,2025-07-21,C0062,G005,E-Wallet,71650
O000067,2025-05-05,C0003,G005,Cash,46500
O000068,2025-06-17,C0001,G006,E-Wallet,7000
O000069,2025-06-20,C0026,G002,QRIS,53175
O000070,2025-07-31,C0092,G007,E-Wallet,80950
O000071,2025-07-15,C0036,G009,Cash,36500
O000072,2025-03-06,C0099,G008,E-Wallet,63725
O000073,2025-05-23,C0076,G010,E-Wallet,12150
O000074,2025-10-25,C0007,G007,E-Wallet,19950
O000075,2025-12-12,C0080,G004,QRIS,23275
O000076,2025-10-12,C0087,G006,Cash,22125
O000077,2025-02-08,C0023,G004,Cash,27375
O000078,2025-11-28,C0034,G005,Cash,83400
O000079,2025-01-02,C0057,G004,QRIS,9450
O000080,2025-04-15,C0066,G005,Transfer,55950
O000081,2025-10-17,C0077,G007,Cash,48075
O000082,2025-04-25,C0028,G008,QRIS,120050
O000083,2025-07-08,C0010,G001,Transfer,37250
O000084,2025-09-08,C0091,G009,Transfer,46500
O000085,2025-10-15,C0087,G010,QRIS,3500
O000086,2025-10-22,C0091,G008,Cash,34000
O000087,2025-04-22,C0092,G007,QRIS,54950
O000088,2025-09-18,C0023,G007,Transfer,109150
O000089,2025-10-11,C0046,G002,E-Wallet,95025
O000090,2025-10-27,C0067,G009,Transfer,45450
O000091,2025-12-15,C0014,G003,QRIS,150500
O000092,2025-04-18,C0042,G002,E-Wallet,48800
O000093,2025-11-08,C0028,G005,Cash,9975
O000094,2025-01-12,C0070,G008,Transfer,58525
O000095,2025-07-29,C0059,G006,E-Wallet,25100
O000096,2025-02-14,C0017,G009,E-Wallet,36150
O000097,2025-09-21,C0007,G002,Cash,67825
O000098,2025-01-14,C0006,G003,Transfer,60450
O000099,2025-02-24,C0012,G004,E-Wallet,64525
O000100,2025-09-30,C0010,G003,Cash,51100
O000101,2025-11-10,C0075,G001,QRIS,196500
O000102,2025-03-02,C0063,G004,E-Wallet,19500
O000103,2025-12-27,C0098,G009,Cash,12825
O000104,2025-07-07,C0027,G001,Cash,22950
O000105,2025-03-29,C0085,G002,Cash,104025
O000106,2025-10-29,C0084,G005,Transfer,37650
O000107,2025-05-16,C0041,G008,E-Wallet,84550
O000108,2025-11-27,C0099,G009,QRIS,20075
O000109,2025-09-01,C0030,G001,QRIS,8100
O000110,2025-12-17,C0086,G007,E-Wallet,19500
O000111,2025-01-15,C0006,G010,Cash,129625
O000112,2025-08-12,C0080,G001,Cash,71725
O000113,2025-12-13,C0020,G009,E-Wallet,25500
O000114,2025-04-06,C0033,G001,QRIS,93075
O000115,2025-11-15,C0051,G002,QRIS,5225
O000116,2025-11-19,C0085,G003,Transfer,63000
O000117,2025-10-19,C0083,G006,E-Wallet,144375
O000118,2025-02-18,C0058,G008,Transfer,25725
O000119,2025-09-03,C0069,G010,E-Wallet,26725
O000120,2025-10-01,C0013,G006,Cash,21750
O000121,2025-06-14,C0074,G009,QRIS,74200
O000122,2025-09-03,C0013,G002,QRIS,22050
O000123,2025-06-27,C0029,G002,Transfer,29825
O000124,2025-11-11,C0099,G007,Transfer,100075
O000125,2025-07-20,C0010,G003,QRIS,13500
O000126,2025-04-15,C0015,G002,Transfer,67475
O000127,2025-05-15,C0067,G010,E-Wallet,21000
O000128,2025-07-17,C0057,G003,QRIS,32150
O000129,2025-02-23,C0063,G005,QRIS,111550
O000130,2025-12-17,C0043,G002,Transfer,148425
O000131,2025-10-03,C0049,G004,E-Wallet,44100
O000132,2025-08-28,C0019,G002,Cash,27200
O000133,2025-01-29,C0009,G009,QRIS,166950
O000134,2025-06-13,C0017,G010,QRIS,102650
O000135,2025-10-04,C0015,G007,E-Wallet,19350
O000136,2025-11-05,C0084,G006,Cash,117550
O000137,2025-08-09,C0081,G007,QRIS,93750
O000138,2025-02-15,C0020,G005,Transfer,46225
O000139,2025-04-21,C0011,G005,E-Wallet,7725
O000140,2025-02-07,C0076,G002,Transfer,127500
O000141,2025-10-30,C0081,G005,E-Wallet,52400
O000142,2025-09-22,C0064,G010,Transfer,37725
O000143,2025-05-02,C0007,G009,Transfer,45200
O000144,2025-11-09,C0071,G001,Cash,3500
O000145,2025-03-01,C0019,G001,QRIS,144650
O000146,2025-01-19,C0072,G009,Transfer,96825
O000147,2025-06-20,C0022,G003,E-Wallet,4500
O000148,2025-03-27,C0004,G006,Cash,62550
O000149,2025-10-10,C0100,G009,Cash,144250
O000150,2025-06-27,C0013,G004,Transfer,144125
O000151,2025-05-25,C0071,G001,QRIS,145200
O000152,2025-08-07,C0060,G005,Transfer,42975
O000153,2025-07-06,C0025,G006,E-Wallet,65500
O000154,2025-10-01,C0082,G004,Transfer,54125
O000155,2025-09-02,C0049,G009,E-Wallet,66000
O000156,2025-09-15,C0057,G002,QRIS,24950
O000157,2025-03-03,C0027,G004,Cash,28750
O000158,2025-08-28,C0068,G008,QRIS,97375
O000159,2025-03-25,C0004,G008,Transfer,20000
O000160,2025-10-17,C0096,G003,Transfer,120450
O000161,2025-03-03,C0050,G004,QRIS,63450
O000162,2025-05-23,C0083,G009,Cash,38700
O000163,2025-12-09,C0048,G002,QRIS,118500
O000164,2025-05-19,C0024,G002,Cash,79000
O000165,2025-12-17,C0006,G001,E-Wallet,32225
O000166,2025-07-08,C0097,G001,QRIS,48600
O000167,2025-05-20,C0041,G006,Cash,97900
O000168,2025-06-25,C0092,G005,Cash,39750
O000169,2025-11-18,C0015,G008,E-Wallet,65550
O000170,2025-10-19,C0014,G010,E-Wallet,23175
O000171,2025-03-30,C0036,G001,QRIS,18000
O000172,2025-03-12,C0084,G010,QRIS,99200
O000173,2025-10-09,C0088,G004,Transfer,56550
O000174,2025-06-02,C0066,G002,Cash,114050
O000175,2025-03-18,C0009,G008,Cash,59225
O000176,2025-03-24,C0024,G007,Cash,60525
O000177,2025-05-28,C0009,G002,Cash,11600
O000178,2025-07-18,C0032,G007,QRIS,5225
O000179,2025-03-20,C0073,G001,QRIS,39400
O000180,2025-01-08,C0059,G004,Cash,38025
O000181,2025-04-19,C0074,G008,QRIS,35775
O000182,2025-08-21,C0027,G009,Transfer,37200
O000183,2025-03-06,C0098,G003,QRIS,76600
O000184,2025-03-02,C0040,G005,E-Wallet,10350
O000185,2025-03-02,C0001,G009,QRIS,30450
O000186,2025-05-15,C0010,G009,E-Wallet,20225
O000187,2025-09-27,C0076,G009,QRIS,58500
O000188,2025-07-04,C0058,G004,Transfer,46800
O000189,2025-07-15,C0035,G007,Cash,26000
O000190,2025-03-06,C0043,G009,E-Wallet,37525
O000191,2025-09-28,C0036,G009,Cash,19150
O000192,2025-08-10,C0082,G008,E-Wallet,49800
O000193,2025-12-28,C0087,G009,Cash,47500
O000194,2025-09-22,C0038,G009,E-Wallet,37000
O000195,2025-04-06,C0044,G006,Cash,128850
O000196,2025-10-07,C0062,G010,Transfer,36275
O000197,2025-11-02,C0063,G002,Transfer,88350
O000198,2025-07-22,C0007,G001,Cash,73500
O000199,2025-05-22,C0069,G009,QRIS,25500
O000200,2025-02-01,C0079,G002,E-Wallet,81375
O000201,2025-09-17,C0087,G001,Cash,98550
O000202,2025-08-11,C0039,G006,E-Wallet,91350
O000203,2025-12-31,C0047,G010,QRIS,52550
O000204,2025-09-09,C0005,G010,Transfer,94925
O000205,2025-04-29,C0091,G010,E-Wallet,6500
O000206,2025-07-11,C0048,G008,E-Wallet,66600
O000207,2025-02-17,C0019,G007,Cash,48600
O000208,2025-05-15,C0095,G003,Cash,23750
O000209,2025-12-18,C0075,G001,Transfer,56900
O000210,2025-02-02,C0055,G010,QRIS,10925
O000211,2025-09-02,C0098,G003,Cash,31500
O000212,2025-12-25,C0074,G008,E-Wallet,19800
O000213,2025-06-07,C0002,G010,E-Wallet,6175
O000214,2025-09-20,C0058,G009,Transfer,50000
O000215,2025-08-02,C0035,G008,E-Wallet,10450
O000216,2025-10-27,C0073,G004,Cash,34500
O000217,2025-05-25,C0026,G006,E-Wallet,88550
O000218,2025-07-08,C0027,G003,Cash,82450
O000219,2025-05-29,C0065,G007,Transfer,52300
O000220,2025-07-09,C0039,G008,QRIS,107600
O000221,2025-09-04,C0043,G007,E-Wallet,65250
O000222,2025-12-02,C0055,G005,E-Wallet,156600
O000223,2025-02-23,C0032,G009,E-Wallet,12350
O000224,2025-06-14,C0058,G008,E-Wallet,25500
O000225,2025-05-22,C0037,G003,Transfer,164000
O000226,2025-12-10,C0078,G009,Cash,71550
O000227,2025-07-27,C0078,G006,E-Wallet,12825
O000228,2025-03-24,C0030,G001,E-Wallet,75000
O000229,2025-04-20,C0093,G008,Cash,8100
O000230,2025-10-11,C0051,G004,E-Wallet,54800
O000231,2025-05-01,C0034,G003,E-Wallet,137275
O000232,2025-06-13,C0079,G003,Transfer,7500
O000233,2025-12-05,C0079,G007,QRIS,3150
O000234,2025-12-03,C0074,G001,E-Wallet,36225
O000235,2025-12-27,C0023,G010,Cash,118500
O000236,2025-07-06,C0071,G009,Cash,39000
O000237,2025-03-31,C0098,G003,QRIS,45900
O000238,2025-09-22,C0093,G004,Transfer,84725
O000239,2025-09-26,C0045,G007,E-Wallet,85600
O000240,2025-12-15,C0082,G010,E-Wallet,17000
O000241,2025-10-20,C0077,G002,QRIS,97500
O000242,2025-06-18,C0077,G007,QRIS,117025
O000243,2025-08-12,C0086,G003,E-Wallet,3500
O000244,2025-09-15,C0060,G007,QRIS,124500
O000245,2025-01-22,C0017,G001,E-Wallet,31000
O000246,2025-10-27,C0055,G010,Transfer,34500
O000247,2025-01-24,C0074,G007,QRIS,104025
O000248,2025-11-18,C0075,G010,QRIS,70900
O000249,2025-03-14,C0088,G004,QRIS,15500
O000250,2025-09-01,C0015,G003,Cash,74500
O000251,2025-11-21,C0021,G007,Cash,38000
O000252,2025-10-04,C0064,G007,Transfer,91600
O000253,2025-06-19,C0047,G005,QRIS,24000
O000254,2025-04-04,C0062,G006,QRIS,89550
O000255,2025-08-23,C0032,G008,E-Wallet,41500
O000256,2025-07-25,C0058,G005,E-Wallet,28450
O000257,2025-08-08,C0009,G009,QRIS,161000
O000258,2025-04-25,C0040,G007,Cash,118500
O000259,2025-09-13,C0003,G001,Transfer,57850
O000260,2025-01-28,C0094,G005,Cash,21500
O000261,2025-03-21,C0058,G004,Transfer,8500
O000262,2025-04-18,C0017,G002,Transfer,39500
O000263,2025-12-29,C0025,G002,QRIS,82500
O000264,2025-07-06,C0002,G005,QRIS,88075
O000265,2025-03-29,C0063,G008,E-Wallet,3000
O000266,2025-10-15,C0050,G002,E-Wallet,44075
O000267,2025-04-17,C0017,G009,Cash,14850
O000268,2025-06-24,C0018,G004,QRIS,106025
O000269,2025-01-31,C0002,G008,Transfer,101700
O000270,2025-11-07,C0085,G004,E-Wallet,12825
O000271,2025-01-24,C0055,G002,Transfer,97000
O000272,2025-06-17,C0001,G006,Transfer,14200
O000273,2025-03-28,C0032,G006,Cash,25750
O000274,2025-07-15,C0007,G002,E-Wallet,102275
O000275,2025-10-19,C0040,G004,Cash,7500
O000276,2025-01-19,C0035,G010,Cash,3325
O000277,2025-08-02,C0099,G006,Transfer,17100
O000278,2025-07-03,C0039,G003,Cash,125925
O000279,2025-07-10,C0048,G009,Transfer,53550
O000280,2025-12-27,C0059,G002,E-Wallet,83900
O000281,2025-10-18,C0029,G004,E-Wallet,7500
O000282,2025-05-28,C0044,G002,E-Wallet,88150
O000283,2025-07-12,C0046,G004,Cash,67500
O000284,2025-07-04,C0044,G010,QRIS,24000
O000285,2025-06-30,C0091,G005,Transfer,23550
O000286,2025-01-22,C0017,G009,Cash,34500
O000287,2025-05-30,C0026,G004,E-Wallet,61725
O000288,2025-11-19,C0025,G002,Cash,110850
O000289,2025-12-29,C0029,G006,QRIS,17875
O000290,2025-10-24,C0020,G001,QRIS,4050
O000291,2025-08-04,C0003,G004,Cash,6650
O000292,2025-07-16,C0086,G010,E-Wallet,75325
O000293,2025-06-26,C0010,G001,E-Wallet,25000
O000294,2025-01-06,C0005,G001,E-Wallet,34500
O000295,2025-05-03,C0047,G005,QRIS,12225
O000296,2025-02-24,C0091,G009,QRIS,48700
O000297,2025-03-15,C0028,G003,QRIS,105000
O000298,2025-02-05,C0054,G002,E-Wallet,118500
O000299,2025-02-03,C0073,G010,Cash,24175
O000300,2025-06-10,C0072,G005,Transfer,59000
O000301,2025-07-17,C0029,G003,E-Wallet,42600
O000302,2025-03-19,C0061,G003,QRIS,8500
O000303,2025-07-06,C0097,G003,Cash,28000
O000304,2025-08-12,C0040,G002,Cash,115575
O000305,2025-02-13,C0053,G006,QRIS,11700
O000306,2025-08-26,C0073,G002,QRIS,219675
O000307,2025-02-23,C0039,G004,E-Wallet,61550
O000308,2025-05-23,C0080,G005,Cash,34500
O000309,2025-08-19,C0006,G004,Transfer,107125
O000310,2025-05-11,C0023,G006,E-Wallet,12825
O000311,2025-08-13,C0088,G006,QRIS,63500
O000312,2025-03-28,C0038,G005,E-Wallet,72600
O000313,2025-09-07,C0080,G009,Transfer,120550
O000314,2025-03-04,C0018,G008,Cash,79825
O000315,2025-02-15,C0052,G002,E-Wallet,44000
O000316,2025-10-04,C0062,G006,E-Wallet,80250
O000317,2025-09-08,C0017,G010,E-Wallet,9000
O000318,2025-09-21,C0061,G009,Cash,51950
O000319,2025-01-07,C0056,G005,QRIS,77325
O000320,2025-07-21,C0095,G006,Cash,14250
O000321,2025-09-09,C0040,G004,E-Wallet,39100
O000322,2025-03-27,C0031,G003,E-Wallet,102225
O000323,2025-05-24,C0057,G001,Cash,7500
O000324,2025-05-09,C0094,G007,Cash,47875
O000325,2025-08-10,C0005,G002,Transfer,58425
O000326,2025-04-23,C0065,G003,Transfer,52550
O000327,2025-02-13,C0093,G001,Transfer,94400
O000328,2025-05-24,C0009,G003,QRIS,36175
O000329,2025-12-09,C0067,G005,E-Wallet,24225
O000330,2025-11-10,C0084,G003,QRIS,62050
O000331,2025-02-06,C0037,G001,QRIS,10500
O000332,2025-05-11,C0078,G007,Cash,162375
O000333,2025-02-27,C0077,G004,Cash,39100
O000334,2025-11-02,C0031,G005,QRIS,71925
O000335,2025-08-14,C0025,G010,E-Wallet,36825
O000336,2025-10-29,C0026,G010,Transfer,68000
O000337,2025-06-17,C0089,G007,Transfer,13000
O000338,2025-10-09,C0036,G008,Cash,60550
O000339,2025-09-07,C0089,G005,QRIS,105300
O000340,2025-09-08,C0004,G003,Transfer,48450
O000341,2025-10-11,C0017,G002,Cash,29500
O000342,2025-07-29,C0016,G007,Transfer,10925
O000343,2025-03-26,C0047,G003,QRIS,36000
O000344,2025-12-19,C0052,G005,E-Wallet,21000
O000345,2025-06-01,C0008,G007,Transfer,79650
O000346,2025-06-13,C0082,G008,QRIS,128950
O000347,2025-09-20,C0063,G008,E-Wallet,15300
O000348,2025-04-14,C0090,G007,Transfer,63450
O000349,2025-02-11,C0018,G006,E-Wallet,44000
O000350,2025-07-22,C0056,G006,QRIS,69825
O000351,2025-11-17,C0072,G003,E-Wallet,109150
O000352,2025-08-28,C0095,G005,Transfer,7650
O000353,2025-12-26,C0075,G008,E-Wallet,45000
O000354,2025-05-30,C0084,G005,QRIS,12150
O000355,2025-03-19,C0052,G004,Cash,54000
O000356,2025-07-19,C0070,G010,Transfer,121650
O000357,2025-02-14,C0071,G005,Cash,94200
O000358,2025-11-17,C0021,G006,Transfer,6000
O000359,2025-11-15,C0084,G002,Cash,25500
O000360,2025-03-01,C0002,G009,Transfer,80775
O000361,2025-11-07,C0076,G006,Cash,20700
O000362,2025-05-20,C0011,G001,Transfer,9975
O000363,2025-06-19,C0016,G004,QRIS,22800
O000364,2025-10-13,C0081,G010,Transfer,8100
O000365,2025-10-25,C0074,G008,E-Wallet,25500
O000366,2025-12-11,C0007,G008,QRIS,36350
O000367,2025-05-16,C0010,G004,Transfer,29925
O000368,2025-02-08,C0069,G002,Cash,46875
O000369,2025-08-06,C0086,G010,E-Wallet,66900
O000370,2025-10-29,C0085,G006,Transfer,32400
O000371,2025-05-09,C0052,G007,Transfer,12150
O000372,2025-02-20,C0072,G006,QRIS,19500
O000373,2025-01-06,C0064,G006,Cash,73250
O000374,2025-06-15,C0087,G010,Transfer,99450
O000375,2025-05-08,C0035,G006,Transfer,12100
O000376,2025-06-10,C0009,G003,E-Wallet,41400
O000377,2025-12-08,C0028,G009,Cash,19500
O000378,2025-08-17,C0066,G001,Cash,76800
O000379,2025-12-12,C0056,G009,Transfer,4500
O000380,2025-11-08,C0024,G006,QRIS,74825
O000381,2025-11-13,C0029,G008,QRIS,104475
O000382,2025-08-02,C0070,G009,Cash,105500
O000383,2025-07-01,C0047,G007,Transfer,48175
O000384,2025-08-28,C0003,G004,Transfer,14850
O000385,2025-03-31,C0062,G010,Cash,23400
O000386,2025-03-26,C0013,G003,Cash,40050
O000387,2025-01-08,C0075,G005,QRIS,43350
O000388,2025-12-10,C0059,G008,Cash,68300
O000389,2025-05-04,C0069,G010,QRIS,71350
O000390,2025-05-28,C0029,G003,Transfer,26150
O000391,2025-01-06,C0068,G005,E-Wallet,84000
O000392,2025-12-25,C0078,G004,Transfer,31000
O000393,2025-05-07,C0025,G005,QRIS,131075
O000394,2025-12-23,C0075,G010,E-Wallet,12150
O000395,2025-05-23,C0038,G010,Transfer,28500
O000396,2025-11-29,C0080,G008,E-Wallet,38500
O000397,2025-05-22,C0001,G009,E-Wallet,82200
O000398,2025-06-07,C0039,G006,E-Wallet,34500
O000399,2025-12-11,C0042,G001,QRIS,125000
O000400,2025-10-11,C0011,G005,E-Wallet,64325
O000401,2025-08-11,C0008,G001,Transfer,48000
O000402,2025-07-27,C0025,G001,Transfer,34550
O000403,2025-01-23,C0038,G010,Transfer,55700
O000404,2025-11-12,C0098,G005,Transfer,9000
O000405,2025-02-27,C0094,G007,QRIS,78150
O000406,2025-08-03,C0040,G004,E-Wallet,96500
O000407,2025-09-15,C0088,G004,Cash,55200
O000408,2025-02-01,C0023,G010,Cash,25000
O000409,2025-12-31,C0038,G002,E-Wallet,6000
O000410,2025-10-02,C0003,G002,Transfer,149575
O000411,2025-06-20,C0015,G010,QRIS,67000
O000412,2025-06-13,C0070,G008,Cash,36375
O000413,2025-04-09,C0062,G003,Transfer,9975
O000414,2025-11-29,C0095,G004,Cash,37000
O000415,2025-06-08,C0002,G002,Cash,33250
O000416,2025-12-22,C0022,G010,E-Wallet,16500
O000417,2025-06-25,C0048,G005,QRIS,73525
O000418,2025-08-20,C0098,G004,E-Wallet,73850
O000419,2025-12-09,C0032,G007,E-Wallet,42150
O000420,2025-01-06,C0004,G006,Cash,63675
O000421,2025-01-11,C0079,G010,Cash,12400
O000422,2025-05-19,C0027,G005,Cash,121600
O000423,2025-04-02,C0041,G001,Cash,62725
O000424,2025-04-27,C0025,G002,Transfer,48925
O000425,2025-10-19,C0095,G006,E-Wallet,6500
O000426,2025-10-24,C0044,G007,Cash,50050
O000427,2025-02-04,C0066,G003,Cash,126000
O000428,2025-04-23,C0071,G001,QRIS,46650
O000429,2025-02-16,C0065,G002,Transfer,73650
O000430,2025-10-06,C0098,G010,QRIS,87175
O000431,2025-01-30,C0028,G008,Cash,74100
O000432,2025-06-02,C0064,G003,Cash,53000
O000433,2025-04-20,C0079,G007,Cash,34500
O000434,2025-06-26,C0093,G001,Cash,137000
O000435,2025-03-27,C0038,G010,E-Wallet,96150
O000436,2025-06-11,C0090,G007,E-Wallet,36000
O000437,2025-04-07,C0021,G007,E-Wallet,2500
O000438,2025-05-08,C0034,G010,E-Wallet,33700
O000439,2025-12-12,C0066,G004,Cash,31050
O000440,2025-08-22,C0025,G001,Transfer,39500
O000441,2025-04-15,C0086,G002,Transfer,95275
O000442,2025-09-21,C0063,G002,QRIS,45950
O000443,2025-02-16,C0097,G003,QRIS,127950
O000444,2025-05-09,C0076,G006,E-Wallet,54000
O000445,2025-04-14,C0002,G010,QRIS,50050
O000446,2025-04-08,C0007,G005,QRIS,40850
O000447,2025-06-17,C0077,G010,E-Wallet,30900
O000448,2025-10-16,C0023,G001,QRIS,141750
O000449,2025-01-06,C0032,G004,E-Wallet,79650
O000450,2025-12-23,C0099,G005,Cash,47875
O000451,2025-06-14,C0062,G007,Cash,44550
O000452,2025-03-04,C0071,G004,QRIS,47175
O000453,2025-01-16,C0094,G007,Transfer,78950
O000454,2025-03-23,C0022,G004,QRIS,61025
O000455,2025-10-12,C0017,G009,Cash,29050
O000456,2025-03-15,C0057,G010,QRIS,5225
O000457,2025-12-07,C0021,G008,Transfer,41425
O000458,2025-06-09,C0095,G010,QRIS,36000
O000459,2025-06-24,C0096,G002,Cash,40300
O000460,2025-01-21,C0013,G009,Transfer,57525
O000461,2025-12-29,C0069,G005,E-Wallet,94875
O000462,2025-03-03,C0026,G007,Cash,161000
O000463,2025-09-29,C0004,G001,Cash,45525
O000464,2025-05-09,C0035,G003,QRIS,16150
O000465,2025-04-09,C0034,G001,E-Wallet,16500
O000466,2025-12-18,C0081,G007,E-Wallet,59450
O000467,2025-10-15,C0068,G009,E-Wallet,117475
O000468,2025-05-17,C0005,G005,Transfer,49550
O000469,2025-07-28,C0022,G002,Cash,34000
O000470,2025-07-29,C0073,G004,Transfer,71950
O000471,2025-02-25,C0072,G010,QRIS,38000
O000472,2025-04-22,C0098,G009,E-Wallet,7550
O000473,2025-11-13,C0009,G006,Cash,55200
O000474,2025-02-26,C0010,G004,Cash,130625
O000475,2025-12-19,C0022,G005,E-Wallet,24300
O000476,2025-07-09,C0092,G002,QRIS,166575
O000477,2025-07-06,C0057,G006,Cash,42750
O000478,2025-03-26,C0012,G006,E-Wallet,40675
O000479,2025-11-24,C0033,G003,QRIS,63975
O000480,2025-01-05,C0038,G002,Transfer,8100
O000481,2025-11-19,C0086,G002,Cash,128475
O000482,2025-04-19,C0027,G004,Cash,48700
O000483,2025-12-15,C0042,G010,Cash,17000
O000484,2025-08-20,C0021,G007,QRIS,68150
O000485,2025-02-23,C0085,G008,QRIS,17000
O000486,2025-09-30,C0054,G006,QRIS,62975
O000487,2025-03-07,C0009,G010,E-Wallet,134600
O000488,2025-04-04,C0073,G007,Cash,56025
O000489,2025-11-21,C0099,G010,Cash,16500
O000490,2025-08-20,C0098,G001,Cash,84450
O000491,2025-08-24,C0081,G006,Cash,159250
O000492,2025-06-25,C0029,G002,E-Wallet,159000
O000493,2025-06-30,C0062,G003,Transfer,140225
O000494,2025-07-15,C0069,G004,E-Wallet,96650
O000495,2025-11-18,C0098,G008,Cash,133700
O000496,2025-03-18,C0038,G004,QRIS,13725
O000497,2025-05-04,C0063,G008,E-Wallet,43000
O000498,2025-01-03,C0046,G001,E-Wallet,61500
O000499,2025-02-10,C0042,G008,Transfer,86600
O000500,2025-07-01,C0007,G008,E-Wallet,22350
O000501,2025-12-05,C0099,G002,Transfer,2850
O000502,2025-04-23,C0066,G007,E-Wallet,71950
O000503,2025-07-02,C0044,G004,Cash,3150
O000504,2025-01-21,C0003,G003,QRIS,2250
O000505,2025-02-22,C0018,G004,QRIS,16150
O000506,2025-08-20,C0058,G006,QRIS,3150
O000507,2025-09-20,C0085,G008,E-Wallet,14850
O000508,2025-09-29,C0066,G006,Cash,29950
O000509,2025-12-09,C0061,G004,QRIS,8500
O000510,2025-07-07,C0070,G009,Cash,22350
O000511,2025-02-21,C0090,G005,Transfer,44175
O000512,2025-04-17,C0013,G008,QRIS,74125
O000513,2025-03-09,C0005,G007,Cash,10450
O000514,2025-02-26,C0027,G008,QRIS,32775
O000515,2025-07-30,C0062,G006,QRIS,129225
O000516,2025-12-01,C0011,G009,QRIS,36250
O000517,2025-11-15,C0014,G006,QRIS,48000
O000518,2025-05-14,C0029,G006,Transfer,24200
O000519,2025-12-13,C0058,G004,E-Wallet,21850
O000520,2025-05-30,C0065,G008,QRIS,44775
O000521,2025-09-17,C0059,G002,QRIS,120650
O000522,2025-08-05,C0030,G007,QRIS,18000
O000523,2025-02-07,C0007,G005,E-Wallet,5400
O000524,2025-02-17,C0077,G002,Transfer,11950
O000525,2025-03-26,C0013,G009,QRIS,77850
O000526,2025-06-11,C0062,G005,QRIS,24375
O000527,2025-05-01,C0088,G005,Transfer,16150
O000528,2025-09-23,C0077,G006,Cash,37700
O000529,2025-02-17,C0072,G004,Cash,31950
O000530,2025-10-05,C0047,G010,Cash,12000
